node1,label,node2
https://www.allmusic.com/song/i-want-you-mt0014008811,in,cluster_29369
0.5875747070378975,in,cluster_40220
https://www.allmusic.com/song/stay-mt0054855153,in,cluster_29369
https://www.allmusic.com/artist/david-bowie-mn0000531986,in,cluster_40220
https://www.allmusic.com/song/a-lot-of-livin-to-do-mt0001111471,in,cluster_29369
A Lot of Livin' to Do,in,cluster_40644
https://www.allmusic.com/artist/annette-zalinskas-mn0001275036,in,cluster_20117
https://www.allmusic.com/artist/david-fenton-mn0000642396,in,cluster_20117
https://www.allmusic.com/artist/steve-miller-mn0000044024,in,cluster_46504
Bay Area blues fanatic who turned his tight psych band into one of the greatest and most consistent hit machines of the 1970s.,in,cluster_40285
https://www.allmusic.com/song/whip-it-mt0008523888,in,cluster_25413
0.9618713932399012,in,cluster_40220
https://www.allmusic.com/song/nothing-to-fear-mt0057315788,in,cluster_12661
0.8218162569241401,in,cluster_25413
https://www.allmusic.com/artist/joel-hirschhorn-mn0000177800,in,cluster_46504
"Screen composer Joel Hirschhorn earned a pair of Academy Awards co-writing themes to two of the biggest disaster films of the early '70s, The Poseidon Adventure and The Towering Inferno. Born in the Bronx,…",in,cluster_40285
https://www.allmusic.com/artist/steve-swindells-mn0000042598,in,cluster_20117
https://www.allmusic.com/song/police-thieves-mt0005204511,in,cluster_22633
https://www.allmusic.com/style/surf-ma0000002883,in,cluster_27193
"                Surf Rock was one of the most popular forms of American rock & roll of the early '60s. Distinguished by reverb-drenched guitar, rolling instrumentals that were designed to sound like crashing waves, and simple, three-chord songs, the music may sound similar on the surface, but it was revolutionary music for its time, exploring sonic territories previously unheard in rock music. The first wave of surf rock was kicked off by Dick Dale and his single Let's Go Trippin. The single was a local hit in California, but it inspired countless bands to form -- groups like the Chantays and Surfaris, who had national hits (Pipeline and Wipe Out, respectively). Nearly all of these groups were one-hit wonders that struggled to produce a second hit single. The second wave of surf rock was led by the Beach Boys, who added Four Freshmen-style pop harmonies to the basic Chuck Berry rhythms of surf rock. Groups like Jan & Dean and Ronny & the Daytonas followed, but the Beach Boys remained the ultimate surf band for many listeners, simply because they put the appeal of the beach and surfing into words instead of conveying it with impressionistic music. Nevertheless, the sounds of the instrumental surf rock echoed throughout the sonic experimentations of '60s guitarists, and the genre remained popular into the '90s, thanks to the efforts of several generations of surf-rock revivalists.            ",in,cluster_7468
https://www.allmusic.com/song/slow-death-mt0000474842,in,cluster_12661
0.6244939271255061,in,cluster_25413
https://www.allmusic.com/artist/don-davis-mn0000145319,in,cluster_46504
https://www.allmusic.com/artist/opeth-mn0000400717,in,cluster_21623
https://www.allmusic.com/artist/ludwig-g%C3%B6ransson-mn0001717667,in,cluster_46504
https://www.allmusic.com/song/flowers-of-guatemala-mt0000476789,in,cluster_29369
0.2098385640949438,in,cluster_40220
https://www.allmusic.com/song/one-more-red-nightmare-mt0051085665,in,cluster_22633
https://www.allmusic.com/artist/ernest-ranglin-mn0000202187,in,cluster_20117
